trading_year,pairs_selected,total_trades,winning_trades,win_rate,total_pnl,ending_capital,convergence_exits,max_holding_exits,stop_loss_exits,period_end_exits
2007,6,7,2,28.57142857142857,-754.0353514814925,49245.96464851851,1.0,6.0,,
2008,4,0,0,0.0,0.0,49245.96464851851,,,,
2009,18,7,7,100.0,424.6926037118306,49670.65725223034,3.0,4.0,,
2010,23,32,22,68.75,1286.1545960787703,50956.81184830908,24.0,7.0,1.0,
2011,9,15,10,66.66666666666666,247.18467336894207,51203.996521678026,7.0,7.0,,1.0
2012,8,5,5,100.0,317.2315875546399,51521.22810923267,2.0,3.0,,
2013,4,5,3,60.0,205.05608984463842,51726.284199077294,3.0,2.0,,
2014,11,4,2,50.0,9.843604461599,51736.12780353889,2.0,2.0,,
2015,6,0,0,0.0,0.0,51736.12780353889,,,,
2016,15,22,16,72.72727272727273,597.3457427268588,52333.47354626573,13.0,9.0,,
2017,9,7,6,85.71428571428571,299.4722568567083,52632.945803122435,5.0,2.0,,
2018,2,4,0,0.0,-1486.1953765007538,51146.750426621686,,2.0,1.0,1.0
2019,3,5,3,60.0,453.0012625514728,51599.75168917317,1.0,4.0,,
2020,4,3,3,100.0,1220.3932812878813,52820.14497046105,3.0,,,
2021,4,4,2,50.0,-18.442062677007947,52801.70290778405,2.0,2.0,,
2022,3,4,3,75.0,-215.70766032835976,52585.995247455685,2.0,2.0,,
2023,6,4,3,75.0,-72.0396807266484,52513.95556672903,3.0,1.0,,
2024,4,3,1,33.33333333333333,-1178.2500326964187,51335.70553403261,,2.0,1.0,
