trading_year,pairs_selected,total_trades,winning_trades,win_rate,total_pnl,ending_capital,max_holding_exits,convergence_exits,stop_loss_exits,period_end_exits
2007,14,12,4,33.33333333333333,-486.70743678944996,49513.29256321055,10.0,2,,
2008,13,16,2,12.5,-1992.7826508744915,47520.509912336056,5.0,1,10.0,
2009,26,13,9,69.23076923076923,861.3959161863047,48381.90582852236,7.0,6,,
2010,24,30,15,50.0,1063.5781680864925,49445.48399660886,12.0,16,2.0,
2011,11,18,11,61.111111111111114,76.20439726568516,49521.688393874545,9.0,8,,1.0
2012,12,8,7,87.5,348.4381828126925,49870.126576687246,4.0,4,,
2013,6,5,3,60.0,79.27941785238612,49949.40599453963,2.0,3,,
2014,18,9,5,55.55555555555556,-385.69194186499436,49563.71405267464,5.0,4,,
2015,14,2,2,100.0,406.8268620756879,49970.54091475032,,2,,
2016,21,21,18,85.71428571428571,1781.012938684611,51751.553853434925,6.0,14,1.0,
2017,11,6,5,83.33333333333334,348.3136286386046,52099.86748207353,2.0,4,,
2018,19,19,13,68.42105263157895,73.31241658773513,52173.17989866127,4.0,13,1.0,1.0
2019,6,8,4,50.0,56.55050194349204,52229.73040060476,6.0,2,,
2020,7,5,5,100.0,917.5614042256329,53147.2918048304,,5,,
2021,9,9,4,44.44444444444444,-173.18791580675617,52974.103889023645,5.0,4,,
2022,8,9,6,66.66666666666666,-235.3263920175978,52738.77749700604,4.0,5,,
2023,12,6,4,66.66666666666666,-239.80261502951473,52498.97488197653,2.0,4,,
2024,11,11,4,36.36363636363637,-1442.68729713368,51056.28758484285,6.0,3,2.0,
