trading_year,pairs_selected,total_trades,winning_trades,win_rate,total_pnl,ending_capital,convergence_exits
2010,15,24,3,12.5,-493.7037193256548,49506.29628067434,24
2011,9,21,9,42.857142857142854,-16.13974869015749,49490.1565319842,21
2012,10,6,2,33.33333333333333,-48.36454184718431,49441.791990137004,6
2013,6,6,1,16.666666666666664,-73.99153963301092,49367.800450503986,6
2014,8,9,1,11.11111111111111,-141.30484969394948,49226.495600810034,9
2015,4,8,2,25.0,-95.50106131438844,49130.994539495645,8
2016,13,22,3,13.636363636363635,-275.33396367450433,48855.660575821115,22
2017,11,4,1,25.0,-44.17341150148935,48811.487164319624,4
2018,10,8,2,25.0,-45.883541708493134,48765.603622611125,8
2019,5,7,4,57.14285714285714,45.45198835320849,48811.05561096432,7
2020,4,4,1,25.0,-9.530928293495194,48801.52468267083,4
2021,4,6,1,16.666666666666664,-37.55087436934227,48763.97380830149,6
2022,6,3,0,0.0,-12.364026127196308,48751.609782174295,3
2023,5,4,1,25.0,-12.432904736368394,48739.17687743793,4
2024,8,9,3,33.33333333333333,-44.506474199914685,48694.670403238015,9
