trading_year,pairs_selected,total_trades,winning_trades,win_rate,total_pnl,ending_capital,max_holding_exits,convergence_exits,stop_loss_time_exits
2009,16,6,4,66.66666666666666,655.3370662428339,50655.33706624283,4.0,2.0,
2010,15,15,13,86.66666666666667,2345.5196226271464,53000.85668886997,4.0,11.0,
2011,9,7,3,42.857142857142854,-230.7431861624667,52770.11350270751,6.0,1.0,
2012,10,3,2,66.66666666666666,143.612340013088,52913.725842720596,3.0,,
2013,6,2,2,100.0,647.8548790224874,53561.580721743085,1.0,1.0,
2014,8,2,2,100.0,444.99400009732426,54006.57472184041,1.0,1.0,
2015,4,0,0,0.0,0.0,54006.57472184041,,,
2016,13,4,3,75.0,462.56287413744076,54469.13759597785,3.0,1.0,
2017,11,5,5,100.0,980.1229909772093,55449.26058695507,2.0,3.0,
2018,10,5,4,80.0,703.2968867508539,56152.55747370592,3.0,2.0,
2019,5,2,1,50.0,377.64759101408254,56530.20506472,2.0,,
2020,4,1,1,100.0,1183.2249013170497,57713.42996603705,,1.0,
2021,4,4,1,25.0,-143.92706637389279,57569.502899663166,3.0,1.0,
2022,6,7,5,71.42857142857143,1174.741951855564,58744.244851518735,5.0,1.0,1.0
2023,5,3,1,33.33333333333333,-750.223718187978,57994.02113333076,2.0,1.0,
2024,8,6,2,33.33333333333333,-534.7529329117576,57459.268200419,4.0,1.0,1.0
