trading_year,pairs_selected,total_trades,winning_trades,win_rate,total_pnl,ending_capital,convergence_exits,max_holding_exits,stop_loss_time_exits
2010,15,15,13,86.66666666666667,2043.609562015615,52043.60956201562,11.0,4.0,
2011,9,7,4,57.14285714285714,105.35229275108988,52148.96185476672,2.0,5.0,
2012,10,3,2,66.66666666666666,145.91312374385205,52294.874978510576,1.0,2.0,
2013,6,2,1,50.0,159.2697348548414,52454.144713365415,1.0,1.0,
2014,8,2,1,50.0,106.3314558640561,52560.47616922947,1.0,1.0,
2015,4,0,0,0.0,0.0,52560.47616922947,,,
2016,13,4,4,100.0,389.77676569893714,52950.25293492841,1.0,3.0,
2017,11,5,5,100.0,440.8499378110141,53391.10287273942,3.0,2.0,
2018,10,6,4,66.66666666666666,386.72592933709745,53777.82880207652,3.0,3.0,
2019,5,2,1,50.0,8.175205053868787,53786.00400713039,,2.0,
2020,4,1,1,100.0,397.7558705223456,54183.75987765274,1.0,,
2021,4,5,2,40.0,-113.47364215889928,54070.28623549384,2.0,3.0,
2022,6,7,5,71.42857142857143,460.5469495523416,54530.83318504619,1.0,5.0,1.0
2023,5,3,2,66.66666666666666,-105.3994714337404,54425.43371361245,2.0,1.0,
2024,8,6,2,33.33333333333333,-641.9740783549406,53783.45963525751,1.0,4.0,1.0
