trading_year,pairs_selected,total_trades,winning_trades,win_rate,total_pnl,ending_capital,slow_convergence_exits,convergence_exits,max_holding_exits,stop_loss_time_exits
2009,16,6,3,50.0,351.7651252101226,50351.76512521012,4.0,2.0,,
2010,15,15,12,80.0,2426.534815706378,52778.29994091649,2.0,11.0,2.0,
2011,9,7,4,57.14285714285714,-279.4481599500884,52498.851780966404,6.0,1.0,,
2012,10,3,1,33.33333333333333,185.43754936322242,52684.28933032963,2.0,1.0,,
2013,6,2,2,100.0,680.316943333142,53364.60627366277,1.0,1.0,,
2014,8,2,1,50.0,438.6199660626167,53803.22623972539,1.0,1.0,,
2015,4,0,0,0.0,0.0,53803.22623972539,,,,
2016,13,4,3,75.0,570.1791779132282,54373.40541763861,1.0,1.0,2.0,
2017,11,5,4,80.0,887.915247827011,55261.32066546563,1.0,3.0,1.0,
2018,10,6,4,66.66666666666666,916.1885618504441,56177.50922731608,,3.0,3.0,
2019,5,2,1,50.0,-73.98359343474516,56103.525633881334,2.0,,,
2020,4,1,1,100.0,1183.2249013170497,57286.750535198385,,1.0,,
2021,4,3,0,0.0,-508.2000833942677,56778.55045180412,3.0,,,
2022,6,6,4,66.66666666666666,930.90367696214,57709.45412876626,1.0,1.0,3.0,1.0
2023,5,3,1,33.33333333333333,-523.1423694873881,57186.31175927888,2.0,1.0,,
2024,8,6,2,33.33333333333333,-841.1654592156658,56345.146300063214,2.0,1.0,2.0,1.0
