trading_year,pairs_selected,total_trades,winning_trades,win_rate,total_pnl,stop_loss_exits,convergence_exits,max_holding_exits,period_end_exits,regime_break_exits
2010,13,21,11,52.38095238095239,1645.0370571219485,4.0,10.0,7.0,,
2011,8,26,14,53.84615384615385,-33.48307820049047,2.0,12.0,10.0,2.0,
2012,4,5,2,40.0,-233.6768177617031,,2.0,3.0,,
2013,4,8,3,37.5,-378.3771055354128,,2.0,6.0,,
2014,8,11,4,36.36363636363637,-351.1480466777616,,4.0,7.0,,
2015,7,1,1,100.0,400.0923284208694,,1.0,,,
2016,10,26,11,42.30769230769231,-538.1274966808295,3.0,5.0,17.0,1.0,
2017,7,14,11,78.57142857142857,466.67530283370365,,6.0,4.0,1.0,3.0
2018,4,10,3,30.0,-703.0247925077011,4.0,3.0,2.0,1.0,
2019,3,4,1,25.0,-402.06621050081736,,,4.0,,
2020,4,2,2,100.0,637.2628314330742,,1.0,1.0,,
2021,5,5,2,40.0,-224.22090703327058,,2.0,3.0,,
2022,3,8,6,75.0,1296.5463634198488,,4.0,4.0,,
2023,4,4,2,50.0,-191.031006696497,,2.0,2.0,,
2024,3,5,1,20.0,-1090.1583198187263,2.0,,3.0,,
