trading_year,pairs_selected,total_trades,winning_trades,win_rate,total_pnl,return_pct
2008,20,64,47,73.4375,3765.695963857686,3.765695963857686
2009,20,60,42,70.0,3599.5413934253233,3.5995413934253233
2010,20,68,37,54.41176470588235,119.42913687726886,0.11942913687726887
2011,20,45,23,51.11111111111111,-3650.720582735264,-3.650720582735264
2012,20,63,39,61.904761904761905,1573.4216344112276,1.5734216344112275
2013,20,44,20,45.45454545454545,-5589.382886095553,-5.589382886095553
2014,20,57,26,45.614035087719294,-3831.861396290547,-3.831861396290547
2015,20,69,47,68.11594202898551,978.4015907766711,0.9784015907766711
2016,20,74,37,50.0,-2422.8233518747707,-2.422823351874771
2017,20,62,41,66.12903225806451,963.0345482866395,0.9630345482866395
2018,20,48,20,41.66666666666667,-3251.0947992343918,-3.251094799234392
2019,20,54,25,46.2962962962963,-259.07443269397487,-0.25907443269397484
2020,20,49,39,79.59183673469387,3842.1466239962956,3.842146623996295
2021,20,66,40,60.60606060606061,1042.583943987964,1.0425839439879638
2022,20,60,51,85.0,7730.7443294127315,7.730744329412731
2023,20,58,34,58.620689655172406,-683.4643378646124,-0.6834643378646124
2024,20,76,49,64.47368421052632,-1711.2210307683877,-1.7112210307683877
